objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0020,Hambre cero,ODS00200079,Meta 2n.2,Seguridad alimentaria,ODS002000790040,2n.2.2.a,"Porcentaje de población con carencia por acceso a la alimentación nutritiva y de calidad, por desglose geográfico y grupo poblacional",1704,1320,True,Nacional,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200089,Meta 2n.3,Fomentar la productividad sostenible agropecuaria y acuícola pesquera para contribuir a la autosuficiencia alimentaria,ODS002000890010,2n.3.1,Rendimiento agrícola del maíz de grano,1004,23,True,Nacional,Sin desglose geográfico
ODS0030,Salud y bienestar,ODS00300003,Meta 3.1,"De aquí a 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100,000 nacidos vivos",ODS003000030010,3.1.1,Razón de mortalidad materna,793,1122,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300003,Meta 3.1,"De aquí a 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100,000 nacidos vivos",ODS003000030020,3.1.2,Proporción de partos atendidos por personal sanitario capacitado,89,1122,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300005,Meta 3.2,"De aquí a 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos a 12 por cada 1,000 nacidos vivos y la mortalidad de los niños menores de 5 años al menos a 25 por cada 1,000 nacidos vivos",ODS003000050010,3.2.1,Tasa de mortalidad de niños menores de 5 años,24,1122,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300005,Meta 3.2,"De aquí a 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos a 12 por cada 1,000 nacidos vivos y la mortalidad de los niños menores de 5 años al menos a 25 por cada 1,000 nacidos vivos",ODS003000050020,3.2.2,Tasa de mortalidad neonatal,2097,3366,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100007,3.3.1,"Número de nuevas infecciones por el VIH por cada 1.000 habitantes no infectados, desglosado por sexo, edad y poblaciones clave",1813,315,True,Global,Sin desglose geográfico
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100015,3.3.2a,"Incidencia de la tuberculosis por cada 100,000 habitantes, por grupos de edad y según el tipo de tuberculosis (1990-2024)",2159,1260,True,Global,Sin desglose geográfico
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100022,3.3.2b,"Incidencia de la tuberculosis por cada 100,000, habitantes, por entidad federativa y según tipo de tuberculosis (1990-2024)",2162,4620,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100026,3.3.2c,"Incidencia de la tuberculosis por cada 100,000 habitantes, por entidad federativa, según sexo, grupos de edad y tipo de tuberculosis (2003-2024)",2165,78408,True,Global,Desglose por entidad federativa
